Age,Gender,Impressions,Clicks,Signed_In
0,0,2,0,0
49,1,3,0,1
58,1,5,0,1
20,1,3,0,1
80,1,7,1,1
40,1,4,0,1
35,0,6,0,1
0,0,8,0,0
57,0,1,0,1
17,1,4,0,1
51,1,7,0,1
48,1,8,0,1
20,1,6,0,1
40,1,8,0,1
0,0,2,0,0
29,0,5,0,1
19,0,6,0,1
46,1,3,0,1
0,0,4,0,0
27,1,6,0,1
21,1,8,0,1
18,0,1,0,1
26,1,6,0,1
29,1,5,0,1
31,0,5,0,1
38,1,4,0,1
59,1,3,1,1
35,0,1,0,1
0,0,7,0,0
26,0,1,0,1
22,1,6,0,1
46,0,4,0,1
0,0,2,0,0
0,0,4,0,0
32,1,4,0,1
25,0,6,0,1
0,0,4,0,0
37,1,4,0,1
41,1,1,0,1
41,0,1,0,1
69,1,3,0,1
0,0,4,0,0
40,1,6,0,1
59,1,3,0,1
43,1,4,0,1
64,0,4,0,1
72,1,6,0,1
0,0,4,0,0
16,1,5,1,1
0,0,5,0,0
0,0,4,0,0
0,0,3,1,0
0,0,8,0,0
20,1,2,0,1
0,0,5,0,0
0,0,3,0,0
40,0,2,0,1
0,0,5,0,0
0,0,5,0,0
30,1,4,0,1
25,0,6,0,1
0,0,5,0,0
41,1,7,0,1
28,0,4,0,1
0,0,6,2,0
23,0,4,0,1
43,0,8,1,1
53,0,8,0,1
31,0,3,0,1
20,1,9,0,1
0,0,2,0,0
31,1,3,0,1
61,0,5,0,1
43,1,3,0,1
59,1,6,1,1
54,0,5,0,1
0,0,6,0,0
0,0,7,0,0
20,1,5,0,1
18,0,6,0,1
0,0,6,0,0
37,0,4,0,1
0,0,3,0,0
0,0,4,0,0
0,0,3,0,0
