Age,Gender,Impressions,Clicks,Signed_In
63,0,6,0,1
27,0,11,0,1
0,0,3,0,0
0,0,5,1,0
48,0,1,0,1
15,1,7,1,1
0,0,4,0,0
0,0,2,0,0
29,1,2,0,1
58,1,6,0,1
26,0,8,0,1
32,0,5,0,1
0,0,7,0,0
0,0,7,0,0
0,0,6,0,0
0,0,3,0,0
0,0,6,0,0
0,0,8,1,0
38,0,5,0,1
19,1,1,0,1
21,0,3,0,1
23,1,5,0,1
50,1,11,1,1
58,1,3,0,1
73,1,3,0,1
0,0,6,0,0
0,0,2,0,0
57,1,3,0,1
0,0,9,0,0
0,0,4,0,0
0,0,3,0,0
21,0,3,0,1
38,0,3,0,1
0,0,3,0,0
51,1,8,0,1
69,1,6,0,1
0,0,4,0,0
41,0,5,0,1
29,1,5,0,1
77,0,4,0,1
31,1,8,0,1
0,0,6,0,0
38,1,6,0,1
41,1,7,0,1
0,0,4,0,0
0,0,5,0,0
19,0,5,0,1
37,1,4,0,1
0,0,3,0,0
46,1,6,0,1
30,1,5,0,1
58,0,2,0,1
34,1,2,0,1
0,0,3,0,0
0,0,6,1,0
71,0,2,0,1
30,1,7,0,1
0,0,3,0,0
34,1,4,0,1
51,0,5,0,1
47,0,4,0,1
20,1,0,0,1
36,0,2,0,1
62,0,5,0,1
38,0,6,0,1
76,0,1,0,1
18,1,4,0,1
0,0,5,0,0
49,0,11,0,1
0,0,5,0,0
27,0,6,0,1
44,0,6,0,1
20,1,8,0,1
62,0,5,0,1
28,0,4,0,1
27,0,8,0,1
0,0,8,0,0
0,0,5,0,0
0,0,7,0,0
25,0,2,0,1
51,1,8,0,1
20,1,6,0,1
0,0,11,0,0
0,0,6,0,0
34,0,5,0,1
0,0,8,0,0
42,1,4,1,1
0,0,6,0,0
19,1,5,0,1
55,1,7,0,1
70,1,2,0,1
0,0,3,0,0
60,1,5,0,1
0,0,5,0,0
59,1,5,0,1
39,0,5,0,1
54,1,3,0,1
19,0,5,0,1
51,1,7,0,1
20,1,2,0,1
